AWS Data Engineer,Capgemini,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/aws-data-engineer-at-capgemini-4388251712,"python, athena, redshift, aws, s3, glue, lambda",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Analytics Engineer,Celigo,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/analytics-engineer-at-celigo-4375938859,"python, sql, airflow, dbt, snowflake, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Azure Data Engineer,Capgemini,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/azure-data-engineer-at-capgemini-4388263370,"sql, delta lake, synapse, azure",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
SOFTWARE ENGINEER III,Walmart Global Tech India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-iii-at-walmart-global-tech-india-4375217555,"java, aws, azure, gcp, docker, kubernetes, jenkins, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data / AI Engineer,Siemens,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-ai-engineer-at-siemens-4377974377,"python, sql, snowflake, aws, azure",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
GCP Engineer,Fractal,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/gcp-engineer-at-fractal-3815871421,"python, sql, spark, gcp, dataflow, pubsub",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Analyst,Stier Solutions Inc,"Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-stier-solutions-inc-4388279353,"python, sql, aws, azure, gcp",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Analyst - Data & Analytics,Scoutit,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analyst-data-analytics-at-scoutit-4388279484,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Engineer-Databricks,Tata Consultancy Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-databricks-at-tata-consultancy-services-4388508224,"python, scala, pyspark, databricks, glue",2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
AWS Data Engineer,Viraaj HR Solutions Private Limited,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/aws-data-engineer-at-viraaj-hr-solutions-private-limited-4388261881,"python, airflow, redshift, aws, s3, glue, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Engineer (Pyspark + DataBricks) Contract Hiring - GO/JC/1327/2025,Golden Opportunities,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-engineer-pyspark-%2B-databricks-contract-hiring-go-jc-1327-2025-at-golden-opportunities-4386151699,"sql, pyspark, databricks, delta lake, azure, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Analyst II,Better,India,https://in.linkedin.com/jobs/view/data-analyst-ii-at-better-4388552366,"python, sql, snowflake, bigquery, redshift",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Software Engineer, Maps Monetization",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-maps-monetization-at-google-4377693720,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Software Engineer,Kobie,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-kobie-4322021671,"java, sql, kafka, postgresql, aws, azure, docker, kubernetes",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Software Engineer, Content Onboarding",Notion,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-content-onboarding-at-notion-4363544124,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Azure Data Engineer - AM- MFT KGS CH,KPMG India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/azure-data-engineer-am-mft-kgs-ch-at-kpmg-india-4387720002,"python, sql, synapse, azure",2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Azure Data Engineer - GO/JC/1702/2025,Golden Opportunities,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/azure-data-engineer-go-jc-1702-2025-at-golden-opportunities-4386172560,"python, sql, pyspark, databricks, aws, azure, glue",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Software Engineer II - Python,Microservices,Kafka,Nosql,",Blue Yonder,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-ii-python-microservices-kafka-nosql-at-blue-yonder-4388717392,"python, java, spark, kafka, snowflake, mongodb, cassandra, dynamodb, azure, docker, kubernetes, jenkins, github actions, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
(IND) Software Engineer III,Walmart Global Tech India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/ind-software-engineer-iii-at-walmart-global-tech-india-4385740576,"java, kafka, cassandra, azure, gcp, docker, kubernetes, jenkins, ci/cd",2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Software Engineer II- Python, Databricks, AWS, Spark, IDMC",JPMorganChase,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-ii-python-databricks-aws-spark-idmc-at-jpmorganchase-4388555449,"python, spark, pyspark, databricks, delta lake, aws, s3, lambda, eks, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data BI Engineer,Zimmer Biomet,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-bi-engineer-at-zimmer-biomet-4369104670,"python, sql, airflow, dagster, dbt, kafka, snowflake, aws, azure, gcp, eventhub, ci/cd",2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Team Member - MEP,Larsen & Toubro,"Gujarat, India",https://in.linkedin.com/jobs/view/team-member-mep-at-larsen-toubro-4363514077,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Contract - DataBricks Data Engineer,KPG99 INC,"Pune District, Maharashtra, India",https://in.linkedin.com/jobs/view/contract-databricks-data-engineer-at-kpg99-inc-4388394824,"scala, sql, spark, pyspark, databricks, delta lake, aws, azure",2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Data Engineer - Project Atlas SOW - Data Strategy, Data Lineage & Quality - Offshore",Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-project-atlas-sow-data-strategy-data-lineage-quality-offshore-at-ascendion-4385771209,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Engineer - Fiji Transformation project - PO - 9100298580 - Offshore (1)(1),Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-fiji-transformation-project-po-9100298580-offshore-1-1-at-ascendion-4385775073,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Service Engineer,Parle Global Technologies Pvt. Ltd.,"Vasai, Maharashtra, India",https://in.linkedin.com/jobs/view/service-engineer-at-parle-global-technologies-pvt-ltd-4388703691,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Data Engineer - Fiji Transformation project - PO - 9100298580 - Offshore - Santosh Ramegowda,Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-fiji-transformation-project-po-9100298580-offshore-santosh-ramegowda-at-ascendion-4385762488,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
"GCP Data Engineer - Project Atlas SOW - Data Strategy, Data Lineage & Quality - Offshore",Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/gcp-data-engineer-project-atlas-sow-data-strategy-data-lineage-quality-offshore-at-ascendion-4385769262,gcp,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Projects Engr - CHO Projects P&S ( 82579268 ),Reliance Industries Limited,"Jamnagar, Gujarat, India",https://in.linkedin.com/jobs/view/projects-engr-cho-projects-p-s-82579268-at-reliance-industries-limited-4388275727,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Backfill - Service Desk Engineer - TelePacific Corp dba TPx ITO Proposal Project - Offshore(1),Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/backfill-service-desk-engineer-telepacific-corp-dba-tpx-ito-proposal-project-offshore-1-at-ascendion-4385765380,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
"Devops Engineer - Project Atlas SOW - Data Strategy, Data Lineage & Quality - Offshore",Ascendion,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/devops-engineer-project-atlas-sow-data-strategy-data-lineage-quality-offshore-at-ascendion-4385765381,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Project Engineer,Hanwha Ocean,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/project-engineer-at-hanwha-ocean-4297653689,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Project Engineer,ABB,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/project-engineer-at-abb-4388503587,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Production Engineer,Alfa Laval,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/production-engineer-at-alfa-laval-4388726588,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Quality Assurance Engineer,Thirumala Engineering Works,"Tiruvallur, Tamil Nadu, India",https://in.linkedin.com/jobs/view/quality-assurance-engineer-at-thirumala-engineering-works-4388706705,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Mechanical Design Engineer - Traction Transformer,Hitachi Energy,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/mechanical-design-engineer-traction-transformer-at-hitachi-energy-4322068263,,2026-03-21,2026-03-21T17:47:38.118Z,mid/unspecified,false
Project Engineer - PPM,ABB,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/project-engineer-ppm-at-abb-4388514083,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Mechanical Trainee Engineer,Saab,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/mechanical-trainee-engineer-at-saab-4387952406,,2026-03-20,2026-03-21T17:47:38.118Z,mid/unspecified,false
Entry Level Engineer,Building and Industrial Control System (BICSYS),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/entry-level-engineer-at-building-and-industrial-control-system-bicsys-4388707203,,2026-03-21,2026-03-21T17:47:38.118Z,entry/intern,true
