Title,Company,Location,Link,ListedAt,ScrapedAt
Data Engineer (L5),Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-at-netflix-4350364210,2026-01-10,2026-01-19T13:24:13.979Z
Data Visualization Engineer (L4) - Ads,Netflix,United States,https://www.linkedin.com/jobs/view/data-visualization-engineer-l4-ads-at-netflix-4350176102,2026-01-10,2026-01-19T13:24:13.980Z
Data Engineer (L5) - Ads,Netflix,United States,https://www.linkedin.com/jobs/view/data-engineer-l5-ads-at-netflix-4352412152,2026-01-09,2026-01-19T13:24:13.980Z
**** ******** (**) - ******* ******,*******,****** ******,https://www.linkedin.com/jobs/view/data-engineer-l4-revenue-growth-at-netflix-4352596299,2026-01-12,2026-01-19T13:24:13.980Z
****** **** ******** - **** *******,********,"******** ****, **",https://www.linkedin.com/jobs/view/senior-data-engineer-data-science-at-linkedin-4361341596,2026-01-13,2026-01-19T13:24:13.980Z
**** ********,*********,"*******, **",https://www.linkedin.com/jobs/view/data-engineer-at-cubesmart-4351048847,2026-01-03,2026-01-19T13:24:13.980Z
"******** ********, ** ********",********,"******** ****, **",https://www.linkedin.com/jobs/view/software-engineer-ai-platform-at-linkedin-4361551460,2026-01-13,2026-01-19T13:24:13.980Z
