Title,Company,Location,Link,ListedAt,ScrapedAt
Data Engineer,Meril,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-meril-4360811378,2026-01-19,2026-02-06T11:39:51.073Z
Associate - Python Data Engineer - GDC,PwC India,"Kolkata, West Bengal, India",https://in.linkedin.com/jobs/view/associate-python-data-engineer-gdc-at-pwc-india-4291069034,2026-01-25,2026-02-06T11:39:51.073Z
Software Engineer,LinkedIn,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-linkedin-4363633837,2026-01-16,2026-02-06T11:39:51.073Z
Data Engineer Python- Associate- Software Engineer,Morgan Stanley,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-python-associate-software-engineer-at-morgan-stanley-4359474410,2026-02-01,2026-02-06T11:39:51.073Z
Data Engineer,Capgemini,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-capgemini-4354071261,2026-01-20,2026-02-06T11:39:51.073Z
Data Engineer – PySpark & Snowflake,DTC Infotech Pvt. Ltd.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-%E2%80%93-pyspark-snowflake-at-dtc-infotech-pvt-ltd-4357419768,2026-02-03,2026-02-06T11:39:51.073Z
Data Engineer,hackajob,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-at-hackajob-4366055730,2026-01-27,2026-02-06T11:39:51.073Z
Data Analytics Engineer,Air Arabia,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analytics-engineer-at-air-arabia-4361520822,2026-02-03,2026-02-06T11:39:51.073Z
Data Engineer,Anko GCC,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-anko-gcc-4368209008,2026-02-03,2026-02-06T11:39:51.073Z
Associate Software Development Engineer,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-software-development-engineer-at-swiggy-4366496987,2026-01-28,2026-02-06T11:39:51.073Z
"Data Engineer I, Paragon",Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-i-paragon-at-amazon-4363685568,2026-01-16,2026-02-06T11:39:51.073Z
Data Engineer,PharmEasy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-pharmeasy-4360002108,2026-01-16,2026-02-06T11:39:51.073Z
Data Engineer,Tech Mahindra,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-at-tech-mahindra-4353552862,2026-01-16,2026-02-06T11:39:51.073Z
"Spark, PySpark, Scala Data engineer",Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/spark-pyspark-scala-data-engineer-at-infosys-4367546487,2026-01-31,2026-02-06T11:39:51.073Z
Data Analyst/Engineer – SCG India,SCG,"New Delhi, Delhi, India",https://in.linkedin.com/jobs/view/data-analyst-engineer-%E2%80%93-scg-india-at-scg-4298398443,2025-09-10,2026-02-06T11:39:51.073Z
Data Engineer,Kobie,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-kobie-4326563714,2026-01-22,2026-02-06T11:39:51.073Z
Data Engineer I,Amazon,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-i-at-amazon-4346850027,2026-01-21,2026-02-06T11:39:51.073Z
Senior Data Engineer,Persistent Systems,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-engineer-at-persistent-systems-4356952704,2026-01-31,2026-02-06T11:39:51.073Z
Senior Software Engineer (Data Platform Engineer),Myntra,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-software-engineer-data-platform-engineer-at-myntra-4327085723,2026-01-24,2026-02-06T11:39:51.073Z
Software Engineer,Flipkart,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-at-flipkart-4365943911,2026-01-27,2026-02-06T11:39:51.073Z
Junior Data Engineer,Medpace,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/junior-data-engineer-at-medpace-4330713319,2026-01-28,2026-02-06T11:39:51.073Z
Data Engineer (m/w/d),Deutsche Telekom,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-m-w-d-at-deutsche-telekom-4367930961,2026-01-31,2026-02-06T11:39:51.073Z
Data Engineer,Persistent Systems,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-at-persistent-systems-4356460652,2026-01-28,2026-02-06T11:39:51.073Z
"Data Engineer, Enterprise Platforms",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-enterprise-platforms-at-google-4365572903,2026-01-23,2026-02-06T11:39:51.073Z
Software Development Engineer - 2,Flipkart,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-development-engineer-2-at-flipkart-4359015108,2026-01-15,2026-02-06T11:39:51.073Z
