Data Engineer II,Electronic Arts (EA),"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-ii-at-electronic-arts-ea-4437245804,"python, sql, iceberg, airflow, dbt, snowflake, aws, s3, docker, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Definitive Healthcare,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-definitive-healthcare-4392274695,"python, sql, pyspark, databricks, delta lake, airflow, s3",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Haleon,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-engineer-at-haleon-4439100438,"python, scala, sql, spark, databricks, delta lake, snowflake, azure",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Consertus,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-engineer-at-consertus-4420986664,,2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Python+Spark Scala,Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python%2Bspark-scala-at-infosys-4438994821,,2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Software Engineer,Tata Consultancy Services,"Indore, Madhya Pradesh, India",https://in.linkedin.com/jobs/view/software-engineer-at-tata-consultancy-services-4439130599,"python, spark, pyspark, aws, s3, emr, glue, lambda, ecs",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
GCP Data Engineer,Artech L.L.C.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/gcp-data-engineer-at-artech-l-l-c-4439134969,"bigquery, aws, azure, gcp",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer (AI),DataE2E Technologies,India,https://in.linkedin.com/jobs/view/data-engineer-ai-at-datae2e-technologies-4439146182,"python, spark, databricks, airflow, snowflake, bigquery, redshift, aws, azure, gcp, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Xerox,Greater Kolkata Area,https://in.linkedin.com/jobs/view/data-engineer-at-xerox-4402700980,"python, scala, sql, spark, pyspark, databricks, airflow, kafka, aws, azure, gcp, docker, kubernetes, terraform, ci/cd",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,iThink Digital,"Mohali district, India",https://in.linkedin.com/jobs/view/data-engineer-at-ithink-digital-4439129920,"aws, azure, glue, lambda",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Big Data Engineer III,Amazon,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/big-data-engineer-iii-at-amazon-4403136465,"python, java, scala, sql, spark, hadoop, hive, aws, emr",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
GCP Data Engineer - Onsite - Bangalore,"iitjobs, Inc.","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/gcp-data-engineer-onsite-bangalore-at-iitjobs-inc-4439137273,"scala, spark, kafka, gcp, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Zesty,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-engineer-at-zesty-4420196727,,2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Ingestion Engineer (Financial Data),Fomogo - Hire Fast with AI,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-ingestion-engineer-financial-data-at-fomogo-hire-fast-with-ai-4437249275,,2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
ServiceNow CMDB/Data Engineer,ExxonMobil India Careers,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/servicenow-cmdb-data-engineer-at-exxonmobil-india-careers-4411822820,"python, javascript, sql, airflow, dbt, snowflake, bigquery, redshift, synapse, aws, azure, gcp",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Python with ADB,Capgemini,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python-with-adb-at-capgemini-4439789201,"python, pyspark, databricks, azure, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineering Engineer II,TekWissen India,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/data-engineering-engineer-ii-at-tekwissen-india-4429910903,"python, sql, pyspark, airflow, postgres, dataproc, terraform",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Azure Data Engineer | L3 Production Support | 4 YoE | Immediate Joiner | Any UST Location,UST,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/azure-data-engineer-l3-production-support-4-yoe-immediate-joiner-any-ust-location-at-ust-4386895409,"python, sql, pyspark, databricks, synapse, azure, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
Associate Data Engineer/Scientist,Barri Financial Group,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/associate-data-engineer-scientist-at-barri-financial-group-4437214732,"python, sql, postgresql, dynamodb, aws, s3, lambda, ci/cd",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
"Specialist Software Engineer - Data Engineer (Spark, Scala, PySpark)",Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/specialist-software-engineer-data-engineer-spark-scala-pyspark-at-societe-generale-global-solution-centre-4439776718,"spark, pyspark, hadoop, hive, aws, azure, jenkins, ci/cd",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
"GCP, Airflow, Bigquery / Consultant Specialist",HSBC,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/gcp-airflow-bigquery-consultant-specialist-at-hsbc-4439754309,"python, java, dbt, kafka, beam, bigquery, gcp, dataflow",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer (m/w/d),KOLIBRAIN,"Reutlingen, Baden-Württemberg, Germany",https://de.linkedin.com/jobs/view/data-engineer-m-w-d-at-kolibrain-4439100422,"sql, aws",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,ErasmusTalent,"Utrecht, Utrecht, Netherlands",https://nl.linkedin.com/jobs/view/data-engineer-at-erasmustalent-4440001166,"sql, databricks, dbt, synapse, azure",2026-07-13,2026-07-13T09:49:18.474Z,mid/unspecified,false
"Python, Pyspark Developer",Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python-pyspark-developer-at-infosys-4439103256,"python, sql, pyspark",2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
Data Engineer,Nogamy,"Center District, Israel",https://il.linkedin.com/jobs/view/data-engineer-at-nogamy-4439735614,,2026-07-12,2026-07-13T09:49:18.474Z,mid/unspecified,false
