Data Engineer (Hedge Fund),QuanTech Partners,"London Area, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-hedge-fund-at-quantech-partners-4411211144,"python, airflow, kafka, s3",2026-05-06,2026-05-07T08:45:55.736Z,mid/unspecified,false
Data Engineer,Docusign,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-docusign-4410414060,"python, sql, spark, hadoop, airflow, dbt, snowflake, bigquery, aws",2026-05-07,2026-05-07T08:45:55.736Z,mid/unspecified,false
ANALISTA DE DADOS PLENO,Quod,Brazil,https://br.linkedin.com/jobs/view/analista-de-dados-pleno-at-quod-4409200981,"python, sql",2026-05-06,2026-05-07T08:45:55.736Z,mid/unspecified,false
Analista de Dados JR,Lojas Quero-Quero S.A.,"Cachoeirinha, Rio Grande do Sul, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-lojas-quero-quero-s-a-4411418400,"python, sql, snowflake, postgresql, azure",2026-05-07,2026-05-07T08:45:55.736Z,mid/unspecified,false
Data Engineer - Python,Data Intellect,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-python-at-data-intellect-4409215038,python,2026-05-06,2026-05-07T08:45:55.736Z,mid/unspecified,false
Data Engineer,Saransh Inc,"Plano, TX",https://www.linkedin.com/jobs/view/data-engineer-at-saransh-inc-4408849882,"python, java, sql, spark, hadoop, airflow, kafka, snowflake, bigquery, redshift, postgresql, mysql, aws, azure, gcp, docker, kubernetes, ci/cd",2026-05-06,2026-05-07T08:45:55.736Z,mid/unspecified,false
Data Engineer,Erin Associates Ltd,"Bradford, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-at-erin-associates-ltd-4409227578,"redshift, s3",2026-05-07,2026-05-07T08:45:55.736Z,mid/unspecified,false
"Associate, Data & Analytics Engineer",Morgan Stanley,"South Jordan, UT",https://www.linkedin.com/jobs/view/associate-data-analytics-engineer-at-morgan-stanley-4409959122,sql,2026-05-06,2026-05-07T08:45:55.736Z,mid/unspecified,false
Data Engineer,NBL,Greater Melbourne Area,https://au.linkedin.com/jobs/view/data-engineer-at-nbl-4410456742,"sql, bigquery",2026-05-07,2026-05-07T08:45:55.736Z,mid/unspecified,false
Junior Data Analyst,Hypersonix Inc.,India,https://in.linkedin.com/jobs/view/junior-data-analyst-at-hypersonix-inc-4409934353,"python, sql",2026-05-06,2026-05-07T08:45:55.736Z,entry/intern,true
