Data Engineer (SQL+Python+AWS),Fidelity International,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-sql%2Bpython%2Baws-at-fidelity-international-4459274463,"python, sql, spark, databricks, airflow, dbt, kafka, flink, aws, azure, gcp, docker, kubernetes, terraform, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer [T500-29046],Stolt-Nielsen,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-t500-29046-at-stolt-nielsen-4461575470,"python, sql, pyspark, databricks, delta lake, dbt, azure, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer [T500-29045],Stolt-Nielsen,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-t500-29045-at-stolt-nielsen-4461571566,"python, sql, pyspark, databricks, delta lake, dbt, azure, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,People10 Technologies Inc.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-people10-technologies-inc-4460270570,"python, sql, databricks, airflow, dbt, kafka, snowflake, redshift, synapse, aws, azure, gcp, glue, docker, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Advanced Engineer-Data engineer,HARMAN India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/advanced-engineer-data-engineer-at-harman-india-4459507257,"python, sql, spark, hadoop, aws, azure, gcp, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Pyspark Data Engineer,Synechron,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/pyspark-data-engineer-at-synechron-4459290663,"python, sql, pyspark, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,Alight Solutions,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-engineer-at-alight-solutions-4460250313,"python, sql, spark, athena, databricks, airflow, kafka, redshift, aws, s3, emr, glue, lambda, terraform",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Python with SQL Data Engineer,Tata Consultancy Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-with-sql-data-engineer-at-tata-consultancy-services-4459202600,"python, sql, pyspark, databricks, kafka, synapse, aws, azure, gcp, ci/cd",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer - Pharma R&D,Roche,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-pharma-r-d-at-roche-4461702602,,2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Software Engineer - ETL Developer,Wells Fargo,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineer-etl-developer-at-wells-fargo-4461719068,"sql, gcp",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer - Pharma R&D,Bioksha,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-engineer-pharma-r-d-at-bioksha-4459275539,"sql, spark, databricks, airflow, postgresql, s3, lambda, docker, terraform",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer – Azure Databricks,Ignisov Consulting Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-%E2%80%93-azure-databricks-at-ignisov-consulting-services-4459221474,"python, pyspark, databricks, delta lake, azure",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
Junior Data Engineer,Ignisov Consulting Services,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/junior-data-engineer-at-ignisov-consulting-services-4459209599,"python, sql, pyspark, databricks, delta lake, azure, ci/cd",2026-08-31,2026-09-01T11:34:02.629Z,entry/intern,true
"Data Engineer II, Data Engineer II",Amazon Web Services (AWS),"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-ii-data-engineer-ii-at-amazon-web-services-aws-4461519251,"python, java, golang, sql, redshift, dynamodb, aws, s3, emr, glue, lambda",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,Calitii,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-engineer-at-calitii-4460052027,sql,2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,Fidelity International,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/data-engineer-at-fidelity-international-4461555674,"snowflake, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,CMP Techsseract LLP,"Lucknow, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-engineer-at-cmp-techsseract-llp-4459297841,"python, java, scala, sql, spark, hadoop, databricks, kafka, postgresql, azure, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Software Development Engineer II - Data Engineering,JioStar,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-development-engineer-ii-data-engineering-at-jiostar-4459501014,"python, java, scala, go, sql, spark, delta lake, airflow, kafka, flink, snowflake, bigquery, redshift, postgresql, mysql, cassandra, dynamodb, aws, azure, gcp, s3, emr, terraform",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
"Software EngineerSoftware Engineer, Data & Scalability Platform",Cisco,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-engineersoftware-engineer-data-scalability-platform-at-cisco-4461718222,"python, java, go, kafka, snowflake, bigquery, aws, gcp, kubernetes, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Software Developer,TIAA,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/software-developer-at-tiaa-4459513103,"python, sql, airflow, aws, glue, lambda, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Software Engineer III-Python/PySpark,JPMorganChase,"Wilmington, DE",https://www.linkedin.com/jobs/view/software-engineer-iii-python-pyspark-at-jpmorganchase-4461593872,"python, java, sql, pyspark, databricks, iceberg, airflow, snowflake, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Big Data Engineer,Programmers.io,"Arlington, VA",https://www.linkedin.com/jobs/view/big-data-engineer-at-programmers-io-4460014961,"python, java, scala, sql, spark, hadoop, hive, databricks, airflow, aws",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
Kafka + Java + Data Engineer,Cognizant,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/kafka-%2B-java-%2B-data-engineer-at-cognizant-4441790474,"java, scala, sql, spark, pyspark, hadoop, hive, databricks, airflow, kafka, mongodb, cassandra, azure, docker, kubernetes, jenkins, ci/cd",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
"Software Engineer, Data Runtime",Mixpanel,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-data-runtime-at-mixpanel-4461520675,"python, go, gcp",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Big Data Engineer,Seagate Technology,"Wuxi, Jiangsu, China",https://cn.linkedin.com/jobs/view/big-data-engineer-at-seagate-technology-4457241745,"python, java, scala, spark, hadoop, hive, airflow, kafka, aws, emr, docker, kubernetes",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Back-End Engineer | Late-Stage AI Portfolio Company,Peak XV Partners,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/back-end-engineer-late-stage-ai-portfolio-company-at-peak-xv-partners-4460253311,,2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
AI Data Engineer,Standard Chartered,"Guangzhou, Guangdong, China",https://cn.linkedin.com/jobs/view/ai-data-engineer-at-standard-chartered-4460053235,"python, sql, spark, databricks, delta lake, iceberg, kafka, flink, s3",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
Data Engineer,Optimum Solutions Pte Ltd,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-engineer-at-optimum-solutions-pte-ltd-4460200887,"kafka, aws, azure, terraform, ansible, ci/cd",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
Backend Engineer (Search&Recommendation),MUSINSA 무신사,"Seoul, Seoul, South Korea",https://kr.linkedin.com/jobs/view/backend-engineer-search-recommendation-at-musinsa-%EB%AC%B4%EC%8B%A0%EC%82%AC-4425171065,"python, java, spark, airflow, kafka, redis, aws, docker, kubernetes",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
【渋谷】サーバーサイドエンジニア（データ基盤）◆データ活用・生成AI活用を促進◆東証プライム上場,doda (デューダ),"Tokyo, Tokyo, Japan",https://jp.linkedin.com/jobs/view/%E3%80%90%E6%B8%8B%E8%B0%B7%E3%80%91%E3%82%B5%E3%83%BC%E3%83%90%E3%83%BC%E3%82%B5%E3%82%A4%E3%83%89%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%EF%BC%88%E3%83%87%E3%83%BC%E3%82%BF%E5%9F%BA%E7%9B%A4%EF%BC%89%E2%97%86%E3%83%87%E3%83%BC%E3%82%BF%E6%B4%BB%E7%94%A8%E3%83%BB%E7%94%9F%E6%88%90ai%E6%B4%BB%E7%94%A8%E3%82%92%E4%BF%83%E9%80%B2%E2%97%86%E6%9D%B1%E8%A8%BC%E3%83%97%E3%83%A9%E3%82%A4%E3%83%A0%E4%B8%8A%E5%A0%B4-at-doda-%E3%83%87%E3%83%A5%E3%83%BC%E3%83%80-4461235389,"python, java, go, bash, spark, iceberg, kafka, flink, mysql, redis, aws, docker, kubernetes, terraform, ansible, jenkins, github actions",2026-08-31,2026-09-01T11:34:02.629Z,mid/unspecified,false
"Software Engineer, ML Infrastructure, Content Retrieval Platform, Level 4",Snap Inc.,"Palo Alto, CA",https://www.linkedin.com/jobs/view/software-engineer-ml-infrastructure-content-retrieval-platform-level-4-at-snap-inc-4461506422,"python, spark, flink",2026-09-01,2026-09-01T11:34:02.629Z,mid/unspecified,false
