Title,Company,Location,Link,ListedAt,ScrapedAt
Data Analyst,Stensul,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-stensul-4344808517,2025-12-19,2026-01-19T13:17:24.738Z
Virtual Data Analyst Full Time (100% Remote),Handy Food,"New York, United States",https://www.linkedin.com/jobs/view/virtual-data-analyst-full-time-100%25-remote-at-handy-food-4364232696,2026-01-18,2026-01-19T13:17:24.761Z
Data Analyst,Sonimus,"New York, United States",https://www.linkedin.com/jobs/view/data-analyst-at-sonimus-4364222596,2026-01-17,2026-01-19T13:17:24.761Z
** **** *******,******* *****,"*** ****, **",https://www.linkedin.com/jobs/view/sr-data-analyst-at-marwood-group-4346927385,2026-01-02,2026-01-19T13:17:24.761Z
**** *******,******* ********,"***********, **",https://www.linkedin.com/jobs/view/data-analyst-at-healthy-alliance-4343091269,2025-12-10,2026-01-19T13:17:24.761Z
**** *******,***** ****,"*** ****, ****** ******",https://www.linkedin.com/jobs/view/data-analyst-at-handy-food-4364222621,2026-01-18,2026-01-19T13:17:24.761Z
"**** *******, ****** ***** & *****",****** *********,"*** ****, **",https://www.linkedin.com/jobs/view/data-analyst-social-media-video-at-hearst-magazines-4353626026,2026-01-16,2026-01-19T13:17:24.761Z
