AI+Data Engineer,Ascendion,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/ai%2Bdata-engineer-at-ascendion-4453789837,"python, sql, spark, airflow, kafka, aws, azure, gcp, docker, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,GMG,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-engineer-at-gmg-4451739445,"sql, pyspark, athena, databricks, redshift, aws, s3, glue, lambda, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Ingestion Engineer (ADF+Dbt+Snowflake),The Blue Venture Fund,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-ingestion-engineer-adf%2Bdbt%2Bsnowflake-at-the-blue-venture-fund-4453954530,"python, sql, dbt, snowflake, postgresql, aws, azure, gcp",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Databricks Data Engineer,Devoteam,"Amsterdam, North Holland, Netherlands",https://nl.linkedin.com/jobs/view/databricks-data-engineer-at-devoteam-4435431689,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Medior Data Engineer,Sogeti,"Groningen, Groningen, Netherlands",https://nl.linkedin.com/jobs/view/medior-data-engineer-at-sogeti-4438409576,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,Appdome,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://il.linkedin.com/jobs/view/data-engineer-at-appdome-4426405133,"python, sql, spark, pyspark, iceberg, kafka, dynamodb, redis, docker, kubernetes, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Azure Databricks Consultant,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/azure-databricks-consultant-at-infosys-4435710495,"sql, spark, pyspark, databricks, delta lake, synapse, azure, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Software Engineer- 8-10 years of experience in Data Warehousing (DWH) with expertise in cloud data platforms and database,Cisco,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-engineer-8-10%C2%A0years-of-experience-in-data-warehousing-dwh-with-expertise%C2%A0in-cloud-data-platforms-and-database-at-cisco-4434445818,"python, sql, shell, kafka, snowflake, docker, kubernetes, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,Scoutit India,India,https://in.linkedin.com/jobs/view/data-engineer-at-scoutit-india-4453907925,"python, sql",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,STMicroelectronics,Singapore,https://sg.linkedin.com/jobs/view/data-engineer-at-stmicroelectronics-4436482662,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer - Digital Health Excellence Center (w/m/d),EY,"Hamburg, Hamburg, Germany",https://de.linkedin.com/jobs/view/data-engineer-digital-health-excellence-center-w-m-d-at-ey-4385073954,"python, sql, airflow, postgresql",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Azure Data Engineer,GC Technologies Pvt Ltd,India,https://in.linkedin.com/jobs/view/azure-data-engineer-at-gc-technologies-pvt-ltd-4455121649,"python, sql, shell, spark, databricks, snowflake, synapse, postgresql, azure",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,Belgie Vacature,"Ghent, Flemish Region, Belgium",https://be.linkedin.com/jobs/view/data-engineer-at-belgie-vacature-4455155190,"sql, databricks, snowflake, azure",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer - Microsoft Fabric,Version 1,"Dublin, County Dublin, Ireland",https://ie.linkedin.com/jobs/view/data-engineer-microsoft-fabric-at-version-1-4423176101,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer (Fulfillment),Tesco Technology,"Cracow, Małopolskie, Poland",https://pl.linkedin.com/jobs/view/data-engineer-fulfillment-at-tesco-technology-4437571441,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Medior Data Engineer,AT&T,"Bratislava, Bratislava, Slovakia",https://sk.linkedin.com/jobs/view/medior-data-engineer-at-at-t-4453912528,"python, spark, databricks, kafka, snowflake, docker, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
"AWS Databricks Python, Apache Spark",GC Technologies Pvt Ltd,India,https://in.linkedin.com/jobs/view/aws-databricks-python-apache-spark-at-gc-technologies-pvt-ltd-4455170522,"python, sql, pyspark, databricks, aws",2026-08-16,2026-08-16T06:54:12.667Z,mid/unspecified,false
数据工程师,巴施帝信息科技(上海)有限公司,"Suzhou, Jiangsu, China",https://cn.linkedin.com/jobs/view/%E6%95%B0%E6%8D%AE%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E5%B7%B4%E6%96%BD%E5%B8%9D%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80-%E4%B8%8A%E6%B5%B7-%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4451760250,"python, sql, spark, databricks, airflow",2026-08-16,2026-08-16T06:54:12.667Z,mid/unspecified,false
Azure Data Engineer,Inherent Technologies,"Jackson, MI",https://www.linkedin.com/jobs/view/azure-data-engineer-at-inherent-technologies-4455144093,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Software Engineer II (Python) - Supply & Demand,Kpler,"Budapest, Budapest, Hungary",https://hu.linkedin.com/jobs/view/software-engineer-ii-python-supply-demand-at-kpler-4441829596,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Specialist - Python,Linedata,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/specialist-python-at-linedata-4444611377,"python, sql, spark, airflow",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,Trafigura,"Houston, TX",https://www.linkedin.com/jobs/view/data-engineer-at-trafigura-4414023300,"python, sql, aws, azure, gcp, s3, glue, lambda, docker, kubernetes, terraform",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Data Engineer,Nscale,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-nscale-4398571999,"python, spark, pyspark, aws, azure, gcp, ci/cd",2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
Custom Software Engineer,Accenture services Pvt Ltd,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/custom-software-engineer-at-accenture-services-pvt-ltd-4453795967,,2026-08-15,2026-08-16T06:54:12.667Z,mid/unspecified,false
