"Data Engineer, YouTube",Google,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-youtube-at-google-4401114389,"spark, dataflow",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
ANALISTA DE DADOS JR,Mundiale,"Belo Horizonte, Minas Gerais, Brazil",https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-mundiale-4399760163,sql,2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Analyst,Larsen & Toubro,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-larsen-toubro-4402228798,,2026-04-15,2026-04-15T08:01:03.862Z,mid/unspecified,false
Espec I - Cientista de Dados,Safra,"São Paulo, São Paulo, Brazil",https://br.linkedin.com/jobs/view/espec-i-cientista-de-dados-at-safra-4399758790,"python, sql, spark",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Security Analytics Engineer (L4),Netflix,United States,https://www.linkedin.com/jobs/view/security-analytics-engineer-l4-at-netflix-4399925053,"python, sql, presto",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
"Data Engineer, People Analytics",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-people-analytics-at-notion-4402046307,"python, sql, airflow, dbt, snowflake",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Junior Data Engineer,TAQA Water,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/junior-data-engineer-at-taqa-water-4401127158,"python, sql, pyspark",2026-04-14,2026-04-15T08:01:03.862Z,entry/intern,true
Junior Data Engineer (12-Month Contract),DeARX,"Sandton, Gauteng, South Africa",https://za.linkedin.com/jobs/view/junior-data-engineer-12-month-contract-at-dearx-4400754407,"sql, spark, hadoop, databricks, aws, azure, gcp",2026-04-14,2026-04-15T08:01:03.862Z,entry/intern,true
Data Analyst,Assystem Radicon,"Riyadh, Riyadh, Saudi Arabia",https://sa.linkedin.com/jobs/view/data-analyst-at-assystem-radicon-4401405058,"python, sql",2026-04-15,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer (Databricks),InfoCepts,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-engineer-databricks-at-infocepts-4400702602,databricks,2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer,Halan - حالا,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-engineer-at-halan-%D8%AD%D8%A7%D9%84%D8%A7-4400788043,"python, scala, postgresql, mongodb",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer (6137),itD,"Phoenix, AZ",https://www.linkedin.com/jobs/view/data-engineer-6137-at-itd-4401765033,python,2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Ingenieros/as de datos,ÁlamoConsulting,"Madrid, Community of Madrid, Spain",https://es.linkedin.com/jobs/view/ingenieros-as-de-datos-at-%C3%A1lamoconsulting-4384037196,,2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer,Resonate,"Washington, DC",https://www.linkedin.com/jobs/view/data-engineer-at-resonate-4402002130,"scala, spark, hadoop, kafka, snowflake, aws, s3, emr, lambda, docker",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Big Data Engineer,Citi,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/big-data-engineer-at-citi-4389806578,"sql, pyspark, hive",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
"Data Engineer -Pyspark, SQL, Azure, ETL",OnPoint Insights,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-engineer-pyspark-sql-azure-etl-at-onpoint-insights-4401789228,"sql, synapse, azure",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Analista de Dados III,Meta,Brazil,https://br.linkedin.com/jobs/view/analista-de-dados-iii-at-meta-4399794772,"python, sql, bigquery",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer (Remote),Joveo Ai,United Kingdom,https://uk.linkedin.com/jobs/view/data-engineer-remote-at-joveo-ai-4401766037,"python, scala, sql, spark, airflow, dbt, kafka, flink, snowflake, bigquery, redshift",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer - Python,Sand Cherry,"Denver, CO",https://www.linkedin.com/jobs/view/data-engineer-python-at-sand-cherry-4400774138,"python, sql",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Analyst,Assystem,"Riyadh, Riyadh, Saudi Arabia",https://sa.linkedin.com/jobs/view/data-analyst-at-assystem-4399953102,"python, sql",2026-04-15,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer,Onebridge,"New Jersey, United States",https://www.linkedin.com/jobs/view/data-engineer-at-onebridge-4402058028,"python, sql, pyspark, databricks, redshift, postgresql",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer,Frida,"Miami, FL",https://www.linkedin.com/jobs/view/data-engineer-at-frida-4400768249,"python, sql, synapse, postgresql, azure, ci/cd",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
"Technical Solutions Engineer, AI/ML",Google,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/technical-solutions-engineer-ai-ml-at-google-4400766252,"python, java, go, bigquery, kubernetes",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Data Engineer,Henderson Scott US,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-henderson-scott-us-4401108904,"python, sql, snowflake",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Junior Data Engineer (Hybrid @Lisbon),Bee Engineering ICT,"Lisbon, Portugal",https://pt.linkedin.com/jobs/view/junior-data-engineer-hybrid-%40lisbon-at-bee-engineering-ict-4400741079,"python, sql, spark, airflow, dbt, aws, azure, gcp",2026-04-14,2026-04-15T08:01:03.862Z,entry/intern,true
Data Analytics Engineer (GCP),RHR International,Greater Chicago Area,https://www.linkedin.com/jobs/view/data-analytics-engineer-gcp-at-rhr-international-4399748962,"python, javascript, sql, bigquery, gcp, docker",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Hadoop Data Engineer,Persistent Systems,"Pune City, Maharashtra, India",https://in.linkedin.com/jobs/view/hadoop-data-engineer-at-persistent-systems-4399738310,"sql, shell, hadoop, hive",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
"Junior Data Engineer, Economics",Chainlink Labs,United States,https://www.linkedin.com/jobs/view/junior-data-engineer-economics-at-chainlink-labs-4389297453,,2026-04-14,2026-04-15T08:01:03.862Z,entry/intern,true
MySQL Database Engineer,Entersekt,"Stellenbosch, Western Cape, South Africa",https://za.linkedin.com/jobs/view/mysql-database-engineer-at-entersekt-4401795506,"python, bash, mysql, aws",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
Analytics & Data Engineer,Adlook,"Warsaw, Mazowieckie, Poland",https://pl.linkedin.com/jobs/view/analytics-data-engineer-at-adlook-4401751551,"python, go, sql, bigquery, gcp, terraform",2026-04-14,2026-04-15T08:01:03.862Z,mid/unspecified,false
