Intern- Data Engineer,Superloop,"Colombo, Western Province, Sri Lanka",https://lk.linkedin.com/jobs/view/intern-data-engineer-at-superloop-4407672622,"python, go, sql",2026-05-01,2026-05-01T08:24:33.252Z,entry/intern,true
Data Engineer,Yape,"La Molina, Peru",https://pe.linkedin.com/jobs/view/data-engineer-at-yape-4409012324,"python, sql, spark, jenkins, ci/cd",2026-04-30,2026-05-01T08:24:33.252Z,mid/unspecified,false
Data Engineer,Slang AI,"New York, NY",https://www.linkedin.com/jobs/view/data-engineer-at-slang-ai-4407603190,"python, typescript, sql, dbt, bigquery, gcp, dataflow",2026-04-30,2026-05-01T08:24:33.252Z,mid/unspecified,false
"Software Engineer, Airbnb - New Grad",Airbnb,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-airbnb-new-grad-at-airbnb-4409135057,,2026-05-01,2026-05-01T08:24:33.252Z,mid/unspecified,false
Software Development Engineer I,Kotak Mahindra Bank,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/software-development-engineer-i-at-kotak-mahindra-bank-4409050276,"java, javascript, postgresql, mysql, mongodb, aws, azure, gcp, docker, kubernetes, ci/cd",2026-04-30,2026-05-01T08:24:33.252Z,mid/unspecified,false
Data Engineer,ComfyUI,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-engineer-at-comfyui-4409121583,"dagster, dbt, snowflake, bigquery",2026-05-01,2026-05-01T08:24:33.252Z,mid/unspecified,false
Junior Data Engineer,Cittabase Solutions,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-engineer-at-cittabase-solutions-4406750858,"python, sql",2026-05-01,2026-05-01T08:24:33.252Z,entry/intern,true
Data Engineer,Kharon,"Denver, CO",https://www.linkedin.com/jobs/view/data-engineer-at-kharon-4409065905,,2026-04-30,2026-05-01T08:24:33.252Z,mid/unspecified,false
Associate Data Engineer,Superloop,"Colombo, Western Province, Sri Lanka",https://lk.linkedin.com/jobs/view/associate-data-engineer-at-superloop-4407691399,,2026-05-01,2026-05-01T08:24:33.252Z,mid/unspecified,false
Data Engineer,Egen,United States,https://www.linkedin.com/jobs/view/data-engineer-at-egen-4409152246,"spark, beam, bigquery, dataflow",2026-05-01,2026-05-01T08:24:33.252Z,mid/unspecified,false
