Title,Company,Location,Link,ListedAt,ScrapedAt
"Software Engineer, Fullstack, Early Career",Notion,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-fullstack-early-career-at-notion-4334367155,2026-01-10,2026-01-19T11:56:48.219Z
"Software Engineer, New Grad",Stripe,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-stripe-4294691515,2026-01-08,2026-01-19T11:56:48.267Z
"******** ********, *******",******,"*** *******, **",https://www.linkedin.com/jobs/view/software-engineer-backend-at-tinder-4328991043,2026-01-14,2026-01-19T11:56:48.267Z
******** ******** *,****,"*********, **",https://www.linkedin.com/jobs/view/software-engineer-i-at-nike-4342175701,2026-01-16,2026-01-19T11:56:48.267Z
"******** ********, *** ****",******,"*******, **",https://www.linkedin.com/jobs/view/software-engineer-new-grad-at-stripe-4294691514,2026-01-09,2026-01-19T11:56:48.267Z
