(USA) Data Engineer III,Walmart,"Bentonville, AR",https://www.linkedin.com/jobs/view/usa-data-engineer-iii-at-walmart-4373732254,"python, java, sql, spark, kafka",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
Data Engineer - Samba Platform,Samba TV,"Warsaw, Mazowieckie, Poland",https://pl.linkedin.com/jobs/view/data-engineer-samba-platform-at-samba-tv-4378658025,"python, spark, databricks, delta lake, airflow, kafka, flink, snowflake, bigquery, aws, s3, terraform, ci/cd",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
MIS / Data Analysis Coordinator,Eram Talent,"Dhahran, Eastern, Saudi Arabia",https://sa.linkedin.com/jobs/view/mis-data-analysis-coordinator-at-eram-talent-4386167558,sql,2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
Analista de Dados,Lirius Suplementos,Greater São Paulo Area,https://br.linkedin.com/jobs/view/analista-de-dados-at-lirius-suplementos-4388268739,,2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
Junior Data Enginer,BAM labs,Australia,https://au.linkedin.com/jobs/view/junior-data-enginer-at-bam-labs-4388633188,"python, java, scala, sql, spark, hadoop, kafka, aws, azure, gcp",2026-03-22,2026-03-22T07:06:18.937Z,entry/intern,true
Data Engineer,Venture Global LNG,"Arlington, VA",https://www.linkedin.com/jobs/view/data-engineer-at-venture-global-lng-4378637850,"python, sql, databricks, azure",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
"Software Engineer, Early Career",Google,"Mexico City, Mexico",https://mx.linkedin.com/jobs/view/software-engineer-early-career-at-google-4377948076,"python, java, javascript",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
"Data Engineer, Data Infrastructure",Vinted,"Kaunas, Kaunas, Lithuania",https://lt.linkedin.com/jobs/view/data-engineer-data-infrastructure-at-vinted-4375195170,"python, go, airflow, dbt, ci/cd",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
Data Engineer (Azure),Hays,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-azure-at-hays-4386140720,"python, sql, databricks, dagster, snowflake, azure, terraform, ci/cd",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
Junior Analytics Engineer (BI + Data Modelling) - Berlin - m/f/d,Ninox Software,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/junior-analytics-engineer-bi-%2B-data-modelling-berlin-m-f-d-at-ninox-software-4386177676,"python, go, sql, dbt, bigquery, mongodb, glue",2026-03-21,2026-03-22T07:06:18.937Z,entry/intern,true
Data Engineer,TipTopJob,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-at-tiptopjob-4388753705,"python, sql, databricks, airflow, dbt, bigquery, azure, gcp, ci/cd",2026-03-22,2026-03-22T07:06:18.937Z,mid/unspecified,false
Young Graduates – Databricks Data & AI Engineer,Devoteam,"Machelen, Flemish Region, Belgium",https://be.linkedin.com/jobs/view/young-graduates-%E2%80%93-databricks-data-ai-engineer-at-devoteam-4386153695,,2026-03-21,2026-03-22T07:06:18.937Z,entry/intern,true
Data Enginer,"Bolivia Laboro Banca, IFD & CAC",Australia,https://au.linkedin.com/jobs/view/data-enginer-at-bolivia-laboro-banca-ifd-cac-4388602863,"python, java, scala, sql, spark, hadoop, kafka, aws, azure, gcp",2026-03-22,2026-03-22T07:06:18.937Z,mid/unspecified,false
Data Engineer - 793,Protegrity,"London, England, United Kingdom",https://uk.linkedin.com/jobs/view/data-engineer-793-at-protegrity-4379061387,"python, sql, pyspark, snowflake, redshift, aws, azure, docker, kubernetes, terraform, ansible, ci/cd",2026-03-21,2026-03-22T07:06:18.937Z,mid/unspecified,false
